actor_id,url,list_page,name_kanji,name_kana,generation,yago,mon,affiliation,profile,image_url
111,https://meikandb.kabuki.ne.jp/actor/111/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 京由,ナカムラ キョウユキ,,,,,女方。中村雀右衛門一門。1984年生まれ。2007年国立劇場第18期歌舞伎俳優研修修了。４月七代目中村芝雀（現・雀右衛門）に入門し、歌舞伎座『頼朝の死』の町人の女で中村京由を名のり初舞台。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/520db23fec18d_20130816140151.jpg
110,https://meikandb.kabuki.ne.jp/actor/110/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 京純,ナカムラ キョウスミ,,,,,立役。中村雀右衛門一門。1985年生まれ。2007年国立劇場第18期歌舞伎俳優研修修了。４月七代目中村芝雀（現・雀右衛門）に入門し、歌舞伎座『頼朝の死』の町人の男で中村京純を名のり初舞台。17年３月『伊賀越道中双六』の蛇の目の眼八で国立劇場奨励賞。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/520db2579e27d_20130816140215.jpg
236,https://meikandb.kabuki.ne.jp/actor/236/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 仲之助,ナカムラ ナカノスケ,,,,,女方。中村勘九郎・七之助一門。1996年国立劇場第13期歌舞伎俳優研修修了。４月歌舞伎座『井伊大老』の警固の侍ほかで初舞台。12月十八代目中村勘三郎に入門。97年1月中村仲之助を名のる。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/4d09ddcb879c9_20101216183715.jpg
555,https://meikandb.kabuki.ne.jp/actor/555/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 仲侍,ナカムラ ナカジ,,,,,立役。中村勘九郎・七之助一門。1994年生まれ。2017年国立劇場第22期歌舞伎俳優研修修了。４月中村勘九郎に入門し、TBS赤坂ACTシアター『夢幻恋双紙（ゆめまぼろしかこいぞうし）―赤目の転生』の男衆・長屋の男で中村仲侍を名のり初舞台。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/58e5fb216a980_20170406172401.jpg
519,https://meikandb.kabuki.ne.jp/actor/519/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 仲助,ナカムラ ナカスケ,,,,,立役。中村勘九郎・七之助一門。1991年生まれ。2013年国立劇場第20期歌舞伎俳優研修修了。４月中村勘九郎に入門し、５月明治座『将軍江戸を去る』の彰義隊士ほかで中村仲助を名のり初舞台。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/516510052d869_20130410160853.jpg
234,https://meikandb.kabuki.ne.jp/actor/234/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 仲四郎,ナカムラ ナカシロウ,,,,,女方。中村勘九郎・七之助一門。1976年生まれ。2002年国立劇場第16期歌舞伎俳優研修修了。６月国立劇場『俊寛』の船頭で初舞台。10月歌舞伎座『忠臣蔵』の諸士ほかで中村仲四郎を名のる。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/4d09dd5c9b2f1_20101216183524.jpg
520,https://meikandb.kabuki.ne.jp/actor/520/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 仲弥,ナカムラ ナカヤ,,,,,女方。中村勘九郎・七之助一門。1987年生まれ。2013年国立劇場第20期歌舞伎俳優研修修了。４月中村七之助に入門し、５月明治座『与話情浮名横櫛』の貝ひろう浜娘ほかで中村仲弥を名のり初舞台。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/5165110cb2f8d_20130410161316.jpg
1319,https://meikandb.kabuki.ne.jp/actor/1319/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 又康,ナカムラ マタヤス,,,,,中村又五郎一門。2002年生まれ。2025年3月、国立劇場第28期歌舞伎俳優研修修了。同年4月、中村又五郎に入門。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2025/04/af417586749ed948c4aac70c6ea385e8-216x300.jpg
552,https://meikandb.kabuki.ne.jp/actor/552/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 又紫朗,ナカムラ マタシロウ,,,,,立役。中村又五郎一門。1995年生まれ。2017年国立劇場第22期歌舞伎俳優研修修了。４月中村又五郎に入門し、中村又紫朗を名のる。６・７月公文協中央コース『妹背山婦女庭訓（いもせやまおんなていきん）』三笠山御殿の花四天で初舞台。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/58e5f9f81641c_20170406171904.jpg
105,https://meikandb.kabuki.ne.jp/actor/105/,https://meikandb.kabuki.ne.jp/?current_state=1&type=1&s=中村,中村 吉二郎,ナカムラ キチジロウ,,,,,立役。中村吉右衛門一門。黒目がちの優しい顔立ち。師・中村吉右衛門のもと、時代物の武士や捕手、『籠釣瓶花街酔醒（かごつるべさとのえいざめ）』などの廓の若い者、舞踊の四天など様々な役に真面目に取り組んでいる。若い頃は仲居や新造など女方の役も演じていた。夏の勉強会では『傾城反魂香』の修理之助や『双面』の吉田松若などの若衆役に柔らかみが活き、また『引窓』の濡髪長五郎や『一條大蔵譚（いちじょうおおくらものがたり）』の大蔵卿など師匠の当たり役にも挑戦している。,https://meikandb.kabuki.ne.jp/wp-content/uploads/2020/02/520db2235af1f_20130816140123.jpg
